datetime,open,high,low,close,volume,average,barCount
2025-08-18 20:21:00-04:00,1.16673,1.16673,1.166595,1.166635,-1.0,-1.0,-1
2025-08-18 20:22:00-04:00,1.166635,1.166675,1.166535,1.166615,-1.0,-1.0,-1
2025-08-18 20:23:00-04:00,1.166615,1.16664,1.16658,1.166615,-1.0,-1.0,-1
2025-08-18 20:24:00-04:00,1.166615,1.16662,1.166485,1.16656,-1.0,-1.0,-1
2025-08-18 20:25:00-04:00,1.16656,1.16656,1.166505,1.16652,-1.0,-1.0,-1
2025-08-18 20:26:00-04:00,1.16652,1.166575,1.16648,1.16655,-1.0,-1.0,-1
2025-08-18 20:27:00-04:00,1.16655,1.166685,1.16654,1.16665,-1.0,-1.0,-1
2025-08-18 20:28:00-04:00,1.16665,1.166705,1.16662,1.16666,-1.0,-1.0,-1
2025-08-18 20:29:00-04:00,1.16666,1.166705,1.1666,1.16661,-1.0,-1.0,-1
2025-08-18 20:30:00-04:00,1.16661,1.166625,1.166525,1.16656,-1.0,-1.0,-1
2025-08-18 20:31:00-04:00,1.16656,1.166575,1.16648,1.166495,-1.0,-1.0,-1
2025-08-18 20:32:00-04:00,1.166495,1.16658,1.16649,1.16653,-1.0,-1.0,-1
2025-08-18 20:33:00-04:00,1.16653,1.16664,1.16651,1.166625,-1.0,-1.0,-1
2025-08-18 20:34:00-04:00,1.166625,1.166625,1.16654,1.166585,-1.0,-1.0,-1
2025-08-18 20:35:00-04:00,1.166585,1.166595,1.16648,1.166485,-1.0,-1.0,-1
2025-08-18 20:36:00-04:00,1.166485,1.166575,1.166485,1.166575,-1.0,-1.0,-1
2025-08-18 20:37:00-04:00,1.166575,1.166575,1.166425,1.16646,-1.0,-1.0,-1
2025-08-18 20:38:00-04:00,1.16646,1.16648,1.16637,1.16637,-1.0,-1.0,-1
2025-08-18 20:39:00-04:00,1.16637,1.166375,1.16629,1.16629,-1.0,-1.0,-1
2025-08-18 20:40:00-04:00,1.16629,1.166355,1.16628,1.166305,-1.0,-1.0,-1
2025-08-18 20:41:00-04:00,1.166305,1.166325,1.16625,1.16625,-1.0,-1.0,-1
2025-08-18 20:42:00-04:00,1.16625,1.16625,1.166155,1.166165,-1.0,-1.0,-1
2025-08-18 20:43:00-04:00,1.166165,1.166165,1.166115,1.166125,-1.0,-1.0,-1
2025-08-18 20:44:00-04:00,1.166125,1.166155,1.16608,1.16614,-1.0,-1.0,-1
2025-08-18 20:45:00-04:00,1.16614,1.16627,1.166135,1.166245,-1.0,-1.0,-1
2025-08-18 20:46:00-04:00,1.166245,1.166265,1.16614,1.16614,-1.0,-1.0,-1
2025-08-18 20:47:00-04:00,1.16614,1.16617,1.166085,1.166105,-1.0,-1.0,-1
2025-08-18 20:48:00-04:00,1.166105,1.166185,1.166085,1.166085,-1.0,-1.0,-1
2025-08-18 20:49:00-04:00,1.166085,1.16609,1.166085,1.166085,-1.0,-1.0,-1
2025-08-18 20:50:00-04:00,1.166085,1.16609,1.16594,1.16594,-1.0,-1.0,-1
2025-08-18 20:51:00-04:00,1.16594,1.16598,1.165825,1.165825,-1.0,-1.0,-1
2025-08-18 20:52:00-04:00,1.165825,1.165855,1.16574,1.16585,-1.0,-1.0,-1
2025-08-18 20:53:00-04:00,1.16585,1.165935,1.16582,1.165835,-1.0,-1.0,-1
2025-08-18 20:54:00-04:00,1.165835,1.165835,1.165595,1.165595,-1.0,-1.0,-1
2025-08-18 20:55:00-04:00,1.165595,1.165735,1.165585,1.165685,-1.0,-1.0,-1
2025-08-18 20:56:00-04:00,1.165685,1.16571,1.165635,1.16566,-1.0,-1.0,-1
2025-08-18 20:57:00-04:00,1.16566,1.165765,1.165645,1.165725,-1.0,-1.0,-1
2025-08-18 20:58:00-04:00,1.165725,1.165835,1.165725,1.165805,-1.0,-1.0,-1
2025-08-18 20:59:00-04:00,1.165805,1.1659,1.16577,1.165855,-1.0,-1.0,-1
2025-08-18 21:00:00-04:00,1.165855,1.16599,1.165825,1.165935,-1.0,-1.0,-1
2025-08-18 21:01:00-04:00,1.165935,1.16614,1.16592,1.166135,-1.0,-1.0,-1
2025-08-18 21:02:00-04:00,1.166135,1.166205,1.16606,1.166095,-1.0,-1.0,-1
